Geo Point;Geo Shape;Nombre;Descripcion;timestamp;begin;end;altitudeMo;tessellate;extrude;visibility;drawOrder;icon;Areas_Esco;gx_media_l
39.47704459588873, -0.34219038365523763;"{""coordinates"": [[[-0.3355082, 39.4659718, 0.0], [-0.3434905, 39.4683241, 0.0], [-0.3438767, 39.4687879, 0.0], [-0.3446277, 39.4686057, 0.0], [-0.3542837, 39.4714879, 0.0], [-0.3524598, 39.4751816, 0.0], [-0.3514877, 39.4776402, 0.0], [-0.3542185, 39.4784585, 0.0], [-0.354924, 39.4782391, 0.0], [-0.3544102, 39.479114, 0.0], [-0.3538094, 39.4799173, 0.0], [-0.3514279, 39.4815095, 0.0], [-0.3472222, 39.4842256, 0.0], [-0.3427805, 39.4870492, 0.0], [-0.3424586, 39.4868918, 0.0], [-0.3418256, 39.4869001, 0.0], [-0.3410531, 39.4866186, 0.0], [-0.3402699, 39.4862874, 0.0], [-0.3397323, 39.4861187, 0.0], [-0.3391314, 39.4861601, 0.0], [-0.3386701, 39.4860028, 0.0], [-0.3377581, 39.4858786, 0.0], [-0.3370071, 39.4860111, 0.0], [-0.3363956, 39.4862264, 0.0], [-0.3342069, 39.486127, 0.0], [-0.3321899, 39.4857958, 0.0], [-0.3314166, 39.4855221, 0.0], [-0.3330911, 39.4781775, 0.0], [-0.3340782, 39.4730429, 0.0], [-0.3346684, 39.4702435, 0.0], [-0.3350117, 39.4679245, 0.0], [-0.3351726, 39.4668892, 0.0], [-0.3355082, 39.4659718, 0.0]]], ""type"": ""Polygon""}";Distrito XIII;Santos Justo y Pastor, Cardenal Benlloch, Blasco Ibañez, Rubén Dario, Palancia, Av. Cataluña, Límite Alboraya, Ingeniero Fausto Elio, Lluís Peixo, Blas de Lezo, Serrería, Santos Justo y Pastor.;;;;;-1;0;-1;0;;7;
39.486881196123115, -0.35615009545041776;"{""coordinates"": [[[-0.3685102, 39.4878733, 0.0], [-0.3671107, 39.4887395, 0.0], [-0.3646431, 39.4900809, 0.0], [-0.3614459, 39.4919852, 0.0], [-0.3589139, 39.4935417, 0.0], [-0.3573689, 39.4943034, 0.0], [-0.3560815, 39.4948168, 0.0], [-0.3557167, 39.4946181, 0.0], [-0.3559742, 39.4943034, 0.0], [-0.3553734, 39.4938729, 0.0], [-0.354279, 39.4931443, 0.0], [-0.353292, 39.4925813, 0.0], [-0.3513179, 39.4916375, 0.0], [-0.3501591, 39.4908757, 0.0], [-0.3498802, 39.4906108, 0.0], [-0.3499231, 39.4900974, 0.0], [-0.3494081, 39.4896172, 0.0], [-0.3495798, 39.4886402, 0.0], [-0.3479061, 39.4885077, 0.0], [-0.3469619, 39.4884083, 0.0], [-0.3456745, 39.4881102, 0.0], [-0.3443656, 39.487779, 0.0], [-0.343915, 39.4874975, 0.0], [-0.3437004, 39.487216, 0.0], [-0.3429708, 39.4870338, 0.0], [-0.3505454, 39.4822643, 0.0], [-0.353292, 39.4804425, 0.0], [-0.3541932, 39.4798131, 0.0], [-0.3549793, 39.4781879, 0.0], [-0.3685102, 39.4878733, 0.0]]], ""type"": ""Polygon""}";Districte XIV;Av. Catalunya, Límite Alboraia, Av. Alfahuir, Primado Reig, Av. Catalunya;;;;;-1;0;-1;0;;7;
39.52915585093807, -0.35942226002703015;"{""coordinates"": [[[-0.3605208, 39.5178246, 0.0], [-0.3620657, 39.5184205, 0.0], [-0.3625378, 39.5209034, 0.0], [-0.3630528, 39.5232869, 0.0], [-0.3629669, 39.5248096, 0.0], [-0.3631815, 39.5263985, 0.0], [-0.3630528, 39.5267958, 0.0], [-0.3653702, 39.5274909, 0.0], [-0.3640827, 39.5292453, 0.0], [-0.3667435, 39.5330517, 0.0], [-0.3647265, 39.5343426, 0.0], [-0.3639111, 39.5327538, 0.0], [-0.3619799, 39.5355672, 0.0], [-0.3645977, 39.5367256, 0.0], [-0.3648123, 39.5381818, 0.0], [-0.3639111, 39.5384797, 0.0], [-0.3632674, 39.5382811, 0.0], [-0.3626665, 39.538579, 0.0], [-0.3599629, 39.5376523, 0.0], [-0.3582033, 39.5369242, 0.0], [-0.356873, 39.536858, 0.0], [-0.3552422, 39.5360967, 0.0], [-0.3549418, 39.5345412, 0.0], [-0.3547272, 39.533151, 0.0], [-0.3539976, 39.5316947, 0.0], [-0.3534827, 39.5306686, 0.0], [-0.3537831, 39.5298742, 0.0], [-0.3531822, 39.5296756, 0.0], [-0.354298, 39.5270606, 0.0], [-0.3519377, 39.5260013, 0.0], [-0.3536972, 39.5234193, 0.0], [-0.354813, 39.5239821, 0.0], [-0.3562292, 39.5240483, 0.0], [-0.3605208, 39.5178246, 0.0]]], ""type"": ""Polygon""}";Districte XVII (Poblats del Nord);Carpesa, Benifaraig, Massarrojos, Borbotó, Poble Nou, Casas de Bárcena, Mahuella-Tauladella, Rafalell-Vistabella;;;;;-1;0;-1;0;;8;
39.5471818913808, -0.3361801344629059;"{""coordinates"": [[[-0.3364021, 39.5531897, 0.0], [-0.3317672, 39.5517338, 0.0], [-0.3344709, 39.5465054, 0.0], [-0.3330118, 39.5459428, 0.0], [-0.3330976, 39.5449831, 0.0], [-0.3295356, 39.5441227, 0.0], [-0.3281624, 39.5436263, 0.0], [-0.3291065, 39.543163, 0.0], [-0.329879, 39.5436263, 0.0], [-0.3304798, 39.5430306, 0.0], [-0.3332693, 39.5439241, 0.0], [-0.3347284, 39.5419716, 0.0], [-0.3413803, 39.5441227, 0.0], [-0.3398782, 39.5463068, 0.0], [-0.3420669, 39.547432, 0.0], [-0.3403074, 39.549616, 0.0], [-0.3370029, 39.5482924, 0.0], [-0.3364021, 39.5495167, 0.0], [-0.3386766, 39.5502778, 0.0], [-0.3371746, 39.5527265, 0.0], [-0.3364021, 39.5531897, 0.0]]], ""type"": ""Polygon""}";Districte XVII (Poblats del nord);Carpesa, Benifaraig, Massarrojos, Borbotó, Poble Nou, Casas de Bárcena, Mahuella-Tauladella, Rafalell-Vistabella;;;;;-1;0;-1;0;;8;
39.560386833505554, -0.30136772455955235;"{""coordinates"": [[[-0.3157652, 39.5665137, 0.0], [-0.3158081, 39.5679032, 0.0], [-0.3117741, 39.5673739, 0.0], [-0.2958096, 39.5623121, 0.0], [-0.2850378, 39.5590366, 0.0], [-0.2923764, 39.5524521, 0.0], [-0.3166235, 39.5627091, 0.0], [-0.3157652, 39.5665137, 0.0]]], ""type"": ""Polygon""}";Districte XVII (Poblats del Nord);Carpesa, Benifaraig, Massarrojos, Borbotó, Poble Nou, Casas de Bárcena, Mahuella-Tauladella, Rafalell-Vistabella;;;;;-1;0;-1;0;;8;
39.34356413762355, -0.3421613352411661;"{""coordinates"": [[[-0.3597852, 39.4330913, 0.0], [-0.3407981, 39.4265325, 0.0], [-0.3366782, 39.4251402, 0.0], [-0.3350474, 39.4243113, 0.0], [-0.3342749, 39.4233501, 0.0], [-0.3324725, 39.4124094, 0.0], [-0.3280093, 39.395365, 0.0], [-0.3156497, 39.3592729, 0.0], [-0.2977111, 39.3199749, 0.0], [-0.2750518, 39.2791933, 0.0], [-0.2789602, 39.279166, 0.0], [-0.2927789, 39.283418, 0.0], [-0.3052243, 39.2992277, 0.0], [-0.3130349, 39.3032128, 0.0], [-0.3157815, 39.3034785, 0.0], [-0.3185281, 39.3026151, 0.0], [-0.3361537, 39.3015105, 0.0], [-0.357783, 39.2975253, 0.0], [-0.367396, 39.3001821, 0.0], [-0.3742625, 39.3062924, 0.0], [-0.3791644, 39.3097485, 0.0], [-0.381911, 39.313069, 0.0], [-0.3862025, 39.3129362, 0.0], [-0.3917719, 39.3137303, 0.0], [-0.3940989, 39.3161236, 0.0], [-0.3965785, 39.3193082, 0.0], [-0.3969218, 39.3251512, 0.0], [-0.3965022, 39.3284737, 0.0], [-0.3962351, 39.3323215, 0.0], [-0.3956439, 39.3363075, 0.0], [-0.3972651, 39.338429, 0.0], [-0.3971888, 39.3414853, 0.0], [-0.3954722, 39.344937, 0.0], [-0.3892924, 39.3467955, 0.0], [-0.3846575, 39.3494504, 0.0], [-0.3831126, 39.3519726, 0.0], [-0.3807093, 39.3546273, 0.0], [-0.3771044, 39.35476, 0.0], [-0.3719546, 39.3564856, 0.0], [-0.3671481, 39.3574147, 0.0], [-0.3661181, 39.3602019, 0.0], [-0.3625132, 39.3613964, 0.0], [-0.3575351, 39.3619273, 0.0], [-0.3542735, 39.3621928, 0.0], [-0.3544451, 39.3631218, 0.0], [-0.3356299, 39.3821207, 0.0], [-0.3515515, 39.3994336, 0.0], [-0.3494903, 39.4155571, 0.0], [-0.3502131, 39.4222201, 0.0], [-0.3574658, 39.4229826, 0.0], [-0.3578949, 39.4220792, 0.0], [-0.3591824, 39.4221041, 0.0], [-0.3593755, 39.4208443, 0.0], [-0.3587103, 39.4205874, 0.0], [-0.3586889, 39.4202062, 0.0], [-0.3601051, 39.419999, 0.0], [-0.3600085, 39.4196674, 0.0], [-0.3617788, 39.419195, 0.0], [-0.3648656, 39.4199825, 0.0], [-0.3646296, 39.4210434, 0.0], [-0.3729122, 39.4247895, 0.0], [-0.3721827, 39.4259829, 0.0], [-0.3728478, 39.426331, 0.0], [-0.3753799, 39.4267453, 0.0], [-0.3774478, 39.4273612, 0.0], [-0.3830268, 39.4308086, 0.0], [-0.3853791, 39.4321982, 0.0], [-0.3873961, 39.4328777, 0.0], [-0.388233, 39.4335241, 0.0], [-0.3872154, 39.4360331, 0.0], [-0.3699375, 39.4345542, 0.0], [-0.3597852, 39.4330913, 0.0]]], ""type"": ""Polygon""}";Districte XIX (Poblats del Sud);El Saler/Perollenet/El Palmar/Pinedo/La Punta/Forn d'Alcedo/Castellar-Oliveral.  Són localitats limítrofes al Districte XIX: Sedaví, Alfafar, Massanassa, Catarroja, Albal, Silla, Sollana, Sueca (Perelló).;;;;;-1;0;-1;0;;9;
39.441665066098025, -0.34894333398068345;"{""coordinates"": [[[-0.3575644, 39.4347028, 0.0], [-0.3695083, 39.4368345, 0.0], [-0.3689545, 39.4415268, 0.0], [-0.3654713, 39.441005, 0.0], [-0.3640479, 39.4436317, 0.0], [-0.3643346, 39.4463728, 0.0], [-0.3666384, 39.4467609, 0.0], [-0.3508265, 39.4534312, 0.0], [-0.3454443, 39.4517406, 0.0], [-0.3418646, 39.4512428, 0.0], [-0.3416794, 39.4538511, 0.0], [-0.3373743, 39.4544381, 0.0], [-0.3347226, 39.4548487, 0.0], [-0.3357083, 39.4484598, 0.0], [-0.3360929, 39.4422531, 0.0], [-0.3347174, 39.4418321, 0.0], [-0.3356594, 39.4377323, 0.0], [-0.3360242, 39.4348155, 0.0], [-0.3356487, 39.431882, 0.0], [-0.3354493, 39.4308388, 0.0], [-0.3359901, 39.4282045, 0.0], [-0.3361652, 39.4270006, 0.0], [-0.3417534, 39.4288491, 0.0], [-0.3575644, 39.4347028, 0.0]]], ""type"": ""Polygon""}";Districte XIX;El Saler/Perollenet/El Palmar/Pinedo/La Punta/Forn d'Alcedo/Castellar-Oliveral. Són localitats limítrofes al Districte XIX: Sedaví, Alfafar, Massanassa, Catarroja, Albal, Silla, Sollana, Sueca (Perelló).;;;;;-1;0;-1;0;;9;
39.473972881673134, -0.37692638043272786;"{""coordinates"": [[[-0.3833041, 39.4794313, 0.0], [-0.382875, 39.4803919, 0.0], [-0.3803, 39.4812862, 0.0], [-0.3776822, 39.480425, 0.0], [-0.3750644, 39.4790338, 0.0], [-0.3723178, 39.4778744, 0.0], [-0.3697, 39.4756881, 0.0], [-0.3667817, 39.4727067, 0.0], [-0.368155, 39.472276, 0.0], [-0.3683267, 39.4719779, 0.0], [-0.370687, 39.4698577, 0.0], [-0.3750739, 39.4670989, 0.0], [-0.3777251, 39.4677374, 0.0], [-0.3807119, 39.4685318, 0.0], [-0.3834329, 39.4702221, 0.0], [-0.3839479, 39.4718454, 0.0], [-0.3841195, 39.4763506, 0.0], [-0.3833041, 39.4794313, 0.0]]], ""type"": ""Polygon""}";Districte I;Guillem de Castro/Xàtiva/Colón/Justicia/Cauce Viejo del río/Guillem de Castro.                               (Los alumnos residentes en este distrito, pueden solicitar los centros públicos de los distritos II y III como centros de su;;;;;-1;0;-1;0;;1;
39.468523787840226, -0.38551462860834107;"{""coordinates"": [[[-0.3958133, 39.4750294, 0.0], [-0.3899934, 39.4776765, 0.0], [-0.3863026, 39.4787696, 0.0], [-0.3828261, 39.4805342, 0.0], [-0.3839852, 39.4768484, 0.0], [-0.3838136, 39.4735689, 0.0], [-0.3839479, 39.4718454, 0.0], [-0.3835775, 39.4706536, 0.0], [-0.3822901, 39.4694444, 0.0], [-0.3799955, 39.4682646, 0.0], [-0.3761862, 39.4673394, 0.0], [-0.37661, 39.4672069, 0.0], [-0.3785779, 39.4616255, 0.0], [-0.3807382, 39.455284, 0.0], [-0.382054, 39.4559099, 0.0], [-0.3852083, 39.4602836, 0.0], [-0.3933837, 39.4716972, 0.0], [-0.3943278, 39.4728732, 0.0], [-0.3958133, 39.4750294, 0.0]]], ""type"": ""Polygon""}";Districte III;Xàtiva/Guillem de Castro/Cauce Viejo del río/ Pérez Galdós/Giorgeta/Vía del Ferrocarril/Gibraltar/Alicante/Xàtiva. Incluye la Estación del Norte.;;;;;-1;0;-1;0;;1;
39.49533170233106, -0.37007502972490686;"{""coordinates"": [[[-0.3820983, 39.4902771, 0.0], [-0.3830209, 39.4931253, 0.0], [-0.3799954, 39.4938042, 0.0], [-0.3811756, 39.4972981, 0.0], [-0.3812399, 39.4987882, 0.0], [-0.3788581, 39.4993181, 0.0], [-0.3772059, 39.4994174, 0.0], [-0.3751031, 39.4994009, 0.0], [-0.3730217, 39.4990201, 0.0], [-0.3711548, 39.4984074, 0.0], [-0.3709617, 39.4987386, 0.0], [-0.3699747, 39.5002453, 0.0], [-0.3692022, 39.5013712, 0.0], [-0.3686658, 39.5024308, 0.0], [-0.3681508, 39.5034904, 0.0], [-0.3671423, 39.5031593, 0.0], [-0.3650179, 39.5019672, 0.0], [-0.3617135, 39.4996989, 0.0], [-0.3620997, 39.498275, 0.0], [-0.3613916, 39.4980763, 0.0], [-0.3608552, 39.4974802, 0.0], [-0.3596964, 39.4962218, 0.0], [-0.3585377, 39.4954932, 0.0], [-0.3579155, 39.4949965, 0.0], [-0.3572503, 39.4951455, 0.0], [-0.3563705, 39.4948474, 0.0], [-0.3583232, 39.4939698, 0.0], [-0.3684726, 39.4880084, 0.0], [-0.37388, 39.4921152, 0.0], [-0.3820983, 39.4902771, 0.0]]], ""type"": ""Polygon""}";Districte XV;Primado Reig, Av. Alfahuir, Límite Alboraya, Límite Tavernes Blanques, Av. Constitución, Av. Hermanos Machado, Camino de Moncada, Pedro Cabanes, Juan XXIII, Peset Alexandre, Primado Reig;;;;;-1;0;-1;0;;3;
